"","pval.biased","p.corr","bh.q","q"
"TSPAN6",0.0352858730511071,0.102,0.36875,0.100779764178737
"DPM1",0.0918053547943287,0.189,0.4725,0.129134748676483
"SCYL3",0.0673796301251189,0.159,0.446153846153846,0.121934317024599
"C1orf112",0.47538381907931,0.588,0.763636363636364,0.208702624123608
"FGR",0.85735361950667,0.895,0.918181818181818,0.250940059958148
"CFH",0.42470105582562,0.547,0.759722222222222,0.207632885144139
"FUCA2",0.405733274018723,0.532,0.750704225352113,0.205168257081944
"GCLC",0.627503332216258,0.71,0.835294117647059,0.228286763922322
"NFYA",0.0307986888737887,0.093,0.36875,0.100779764178737
"STPG1",0.436071895225987,0.556,0.761643835616438,0.208158064112849
"NIPAL3",0.373607837505311,0.505,0.750704225352113,0.205168257081944
"LAS1L",0.140116761449945,0.273,0.575,0.157148106854979
"ENPP4",0.00600661303805243,0.022,0.3125,0.0854065798124886
"ANKIB1",0.528317863044098,0.625,0.78125,0.213516449531222
"CYP51A1",0.782980665583673,0.839,0.892553191489362,0.243935729234648
"KRIT1",0.409582868008389,0.533,0.750704225352113,0.205168257081944
"RAD52",0.837603787532602,0.881,0.918181818181818,0.250940059958148
"BAD",0.378818718914501,0.509,0.750704225352113,0.205168257081944
"LAP3",0.168989123576214,0.319,0.642,0.175459277566777
"CD99",0.222543323331302,0.376,0.671428571428571,0.183502137197118
"HS3ST1",0.656649334303911,0.731,0.842696629213483,0.230309878146037
"WNT16",0.506706786668984,0.61,0.772151898734177,0.211029928853136
"HECW1",0.0213811317265198,0.07,0.36875,0.100779764178737
"MAD1L1",0.475310003947444,0.588,0.763636363636364,0.208702624123608
"LASP1",0.407290180073074,0.532,0.750704225352113,0.205168257081944
"SNX11",0.185989881358724,0.342,0.659615384615385,0.180273580773437
"TMEM176A",0.265762528440743,0.427,0.721666666666667,0.197232261646974
"M6PR",0.11324225925509,0.237,0.551162790697674,0.150633372394864
"KLHL13",0.0210880185151343,0.069,0.36875,0.100779764178737
"CYP26B1",0.139862901234086,0.271,0.575,0.157148106854979
"ICA1",0.859520702085355,0.898,0.918181818181818,0.250940059958148
"DBNDD1",0.0456160752427778,0.115,0.36875,0.100779764178737
"ALS2",0.140671189530163,0.275,0.575,0.157148106854979
"CASP10",0.271576000101253,0.433,0.721666666666667,0.197232261646974
"CFLAR",0.67868542366336,0.744,0.842696629213483,0.230309878146037
"TFPI",0.683606282461226,0.75,0.842696629213483,0.230309878146037
"NDUFAF7",0.237102646063219,0.39,0.684210526315789,0.18699545895787
"RBM5",0.409542574813522,0.533,0.750704225352113,0.205168257081944
"MTMR7",0.866098981876783,0.903,0.918181818181818,0.250940059958148
"SLC7A2",0.0394786595752777,0.107,0.36875,0.100779764178737
"ARF5",0.571883265907422,0.658,0.802439024390244,0.219307432259971
"SARM1",0.00387629711995865,0.018,0.3125,0.0854065798124886
"POLDIP2",0.970489257278007,0.977,0.977,0.267015131125764
"PLXND1",0.0148019064664399,0.056,0.36875,0.100779764178737
"AK2",0.217342633223697,0.367,0.667272727272727,0.182366340603248
"CD38",0.584778181312679,0.669,0.806024096385542,0.220287236219971
"FKBP4",0.0378860777085798,0.104,0.36875,0.100779764178737
"KDM1A",0.705568636871646,0.763,0.847777777777778,0.231698561411302
"RBM6",0.0972069703263846,0.201,0.490243902439024,0.133984175939982
"CAMKK1",0.000335794858137525,0.003,0.3,0.0819903166199891
"RECQL",0.0749160049265241,0.167,0.446153846153846,0.121934317024599
"VPS50",0.0256313650591468,0.08,0.36875,0.100779764178737
"ARHGAP33",0.0205416120782401,0.068,0.36875,0.100779764178737
"NDUFAB1",0.558451344666951,0.647,0.798765432098765,0.2183034356096
"PDK4",0.676312403708949,0.742,0.842696629213483,0.230309878146037
"ARX",0.0148939019967846,0.057,0.36875,0.100779764178737
"SLC25A13",0.040622918747541,0.107,0.36875,0.100779764178737
"ST7",0.617953505903458,0.703,0.835294117647059,0.228286763922322
"CDC27",0.210029998795255,0.364,0.667272727272727,0.182366340603248
"HCCS",0.0807297056921585,0.174,0.446153846153846,0.121934317024599
"DVL2",0.138343175480865,0.268,0.575,0.157148106854979
"UPF1",0.0355366695303077,0.102,0.36875,0.100779764178737
"SKAP2",0.308281112938024,0.463,0.7296875,0.199424363862161
"SLC25A5",0.294285541117485,0.45,0.7296875,0.199424363862161
"MCUB",0.0110377979813784,0.044,0.36875,0.100779764178737
"POLR2J",0.876354238964094,0.909,0.918181818181818,0.250940059958148
"DHX33",0.00605216206873052,0.022,0.3125,0.0854065798124886
"THSD7A",0.0299711657752933,0.091,0.36875,0.100779764178737
"LIG3",0.00891887214176857,0.032,0.32,0.0874563377279883
"RPAP3",0.32513785391769,0.467,0.7296875,0.199424363862161
"REXO5",0.377691762184807,0.509,0.750704225352113,0.205168257081944
"CIAPIN1",0.21007883490266,0.364,0.667272727272727,0.182366340603248
"SPPL2B",0.00703670371540349,0.025,0.3125,0.0854065798124886
"FAM214B",0.00852866971542978,0.031,0.32,0.0874563377279883
"PRKAR2B",0.0733414406630298,0.165,0.446153846153846,0.121934317024599
"MSL3",0.0588326918470947,0.138,0.417647058823529,0.114143381961161
"CREBBP",0.0365769176568949,0.103,0.36875,0.100779764178737
"TSPOAP1",0.26658914124976,0.428,0.721666666666667,0.197232261646974
"GCFC2",0.758443944819264,0.81,0.880434782608696,0.240623755297794
"WDR54",0.141442022994215,0.276,0.575,0.157148106854979
"CROT",0.46835086140298,0.585,0.763636363636364,0.208702624123608
"KMT2E",0.322324419580321,0.467,0.7296875,0.199424363862161
"RHBDD2",0.0598881119678792,0.142,0.417647058823529,0.114143381961161
"SOX8",0.500969552241137,0.606,0.772151898734177,0.211029928853136
"IBTK",0.0765056790505027,0.17,0.446153846153846,0.121934317024599
"ZNF195",0.111789479007193,0.234,0.551162790697674,0.150633372394864
"MYCBP2",0.0447465022811839,0.113,0.36875,0.100779764178737
"FBXL3",0.0365197133403143,0.103,0.36875,0.100779764178737
"PDK2",0.0153947121041532,0.057,0.36875,0.100779764178737
"ITGA3",0.0124907143499999,0.048,0.36875,0.100779764178737
"ZFX",0.776804197534533,0.832,0.892553191489362,0.243935729234648
"LAMP2",0.0339533040522696,0.1,0.36875,0.100779764178737
"ASB4",0.187887169872936,0.343,0.659615384615385,0.180273580773437
"GDE1",0.171186543256361,0.321,0.642,0.175459277566777
"C19orf60",0.729172263866447,0.775,0.851648351648352,0.232756393335134
"CRLF1",0.457584195191014,0.571,0.763636363636364,0.208702624123608
"OSBPL7",0.0478896308706314,0.118,0.36875,0.100779764178737
"TMEM98",0.00133588598677221,0.007,0.3125,0.0854065798124886
"MAP3K14",0.0054377199363872,0.022,0.3125,0.0854065798124886
"ABCC8",0.00310944504686333,0.014,0.3125,0.0854065798124886
